req,pos,labels
"Each college has a website
Each college is structured into departments, each of which brings together specific teachers. Among these teachers, one of them is responsible for the department.
A teacher is defined by his surname, first name, phone, email, date of taking office and his index.
Each teacher teaches only one subject.
Students take several subjects and receive a mark for each of them.
For each student, we want to manage his name, first name, phone, email, as well as his year of entry to college.
A subject can be taught by several teachers but always takes place in the same classroom (each having a specific number of places).
We want to be able to calculate the average by subject as well as by department
We also want to calculate the general average of a student and be able to display the subjects in which he has not been noted
Finally, we must be able to print the data sheet (, first name, phone, email) of a teacher or a student.",DET NOUN VERB DET NOUN SPACE DET NOUN AUX VERB ADP NOUN PUNCT PRON ADP PRON VERB ADV ADJ NOUN PUNCT ADP DET NOUN PUNCT NUM ADP PRON AUX ADJ ADP DET NOUN PUNCT SPACE DET NOUN AUX VERB ADP PRON NOUN PUNCT ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN ADP VERB NOUN CCONJ PRON NOUN PUNCT SPACE DET NOUN VERB ADV NUM NOUN PUNCT SPACE NOUN VERB ADJ NOUN CCONJ VERB DET NOUN ADP PRON ADP PRON PUNCT SPACE ADP DET NOUN PUNCT PRON VERB PART VERB PRON NOUN PUNCT ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT ADV ADV ADP PRON NOUN ADP NOUN ADP NOUN PUNCT SPACE DET NOUN AUX AUX VERB ADP ADJ NOUN CCONJ ADV VERB NOUN ADP DET ADJ NOUN PUNCT PRON VERB DET ADJ NOUN ADP NOUN PUNCT PUNCT SPACE PRON VERB PART AUX ADJ PART VERB DET NOUN ADP NOUN ADV ADV ADP ADP NOUN SPACE PRON ADV VERB PART VERB DET ADJ NOUN ADP DET NOUN CCONJ AUX ADJ PART VERB DET NOUN ADP PRON PRON AUX PART AUX VERB SPACE ADV PUNCT PRON AUX AUX ADJ PART VERB DET NOUN NOUN PUNCT PUNCT ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT ADP DET NOUN CCONJ DET NOUN PUNCT,O entity relationship O attr O O entity O relationship O entity O O O O relationship O O entity O O O entity O O O O O relationship O O entity O O O entity O relationship O O attr O O attr O attr O attr O attr O O O O O attr O O O entity relationship O O entity O O entity relationship O entity O O O O O O O O O O O O entity O O O O O O attr O O attr O attr O attr O O O O O attr O O O entity O O O entity O O relationship O O entity O O O O O O O entity O O O O O attr O O O O O O O O O O O O O O O entity O O O O entity O O O O O O O O O O O entity O O O O O O entity O O O relationship O O O O O O O O O O O O O O O O O O attr O attr O attr O O O entity O O entity O
"Consider the following sentences:

A directory contains files
A room contains walls
Modems and keyboards are input/output devices
A stock transaction is a purchase or a sale
A bank account can belong to a natural or legal person",VERB DET VERB NOUN PUNCT SPACE DET NOUN VERB NOUN SPACE DET NOUN VERB NOUN SPACE PROPN CCONJ NOUN AUX NOUN SYM NOUN NOUN SPACE DET NOUN NOUN AUX DET NOUN CCONJ DET NOUN SPACE DET NOUN NOUN AUX VERB ADP DET ADJ CCONJ ADJ NOUN,O O O O O O O entity relationship entity O O entity relationship entity O entity O entity relationship O O O entity O O O entity relationship O entity O O entity O O O entity O relationship O O entity O entity O
"Either in a school that performs the following functions:
Develop catalogs that describe the courses and give the estimated dates of the sessions.
Register people who wish to participate in the sessions and send them their invitation.
Determine the trainers who will lead the sessions. Some sessions may be led by individual contractors.
Some courses are organized into sectors. The courses use referenced documents.",CCONJ ADP DET NOUN PRON VERB DET VERB NOUN PUNCT SPACE VERB NOUN PRON VERB DET NOUN CCONJ VERB DET VERB NOUN ADP DET NOUN PUNCT SPACE PROPN NOUN PRON VERB PART VERB ADP DET NOUN CCONJ VERB PRON PRON NOUN PUNCT SPACE VERB DET NOUN PRON AUX VERB DET NOUN PUNCT DET NOUN AUX AUX VERB ADP ADJ NOUN PUNCT SPACE DET NOUN AUX VERB ADP NOUN PUNCT DET NOUN VERB VERB NOUN PUNCT,O O O O O O O O O O O O O O O O entity O O O O O O O entity O O O entity O O O relationship O O entity O O O O O O O O O entity O O relationship O entity O O entity O O relationship O O entity O O O entity O relationship O entity O O entity relationship O entity O
"A person is characterized by his name, his first name, his sex and his age. The objects of the Person class must be able to calculate their income and expenses. The attributes of the class are private; the name, the first name and the age of the person must be accessible by public operations.",DET NOUN AUX VERB ADP PRON NOUN PUNCT PRON ADJ NOUN PUNCT PRON NOUN CCONJ PRON NOUN PUNCT DET NOUN ADP DET PROPN NOUN AUX AUX ADJ PART VERB PRON NOUN CCONJ NOUN PUNCT DET NOUN ADP DET NOUN AUX ADJ PUNCT DET NOUN PUNCT DET ADJ NOUN CCONJ DET NOUN ADP DET NOUN AUX AUX ADJ ADP ADJ NOUN PUNCT,O entity O O O O attr O O O attr O O attr O O attr O O O O O O O O O O O O O O O O O O O O O O O O O O attr O O O attr O O attr O O entity O O O O O O O
"In a university there are different classrooms, offices 
and departments. A department has a name and it 
contains many offices. A person working at the 
university has a unique ID and can be a professor or 
an employee.
A professor can be a full, associate or assistant 
professor and he/she is enrolled in one department.
Offices and classrooms have a number ID, and a 
classroom has a number of seats.
Every employee works in an office.
",ADP DET NOUN PRON VERB ADJ NOUN PUNCT NOUN SPACE CCONJ NOUN PUNCT DET NOUN VERB DET NOUN CCONJ PRON SPACE VERB ADJ NOUN PUNCT DET NOUN VERB ADP DET SPACE NOUN VERB DET ADJ NOUN CCONJ AUX AUX DET NOUN CCONJ SPACE DET NOUN PUNCT SPACE DET NOUN AUX AUX DET ADJ PUNCT NOUN CCONJ NOUN SPACE NOUN CCONJ PRON SYM PRON AUX VERB ADP NUM NOUN PUNCT SPACE NOUN CCONJ NOUN VERB DET NOUN PROPN PUNCT CCONJ DET SPACE NOUN VERB DET NOUN ADP NOUN PUNCT SPACE DET NOUN VERB ADP DET NOUN PUNCT SPACE,O O entity O O O entity O entity O O entity O O entity O O attr O O O relationship O entity O O entity relationship O O O entity O O O attr O O relationship O entity O O O entity O O O entity O relationship O entity O entity O entity O entity O O O O O relationship O O entity O O entity O entity O O O attr O O O O entity O O O O attr O O O entity relationship O O entity O O
"The factory produces several lines of furniture, each with a different name and consisting of several pieces of furniture of different types (beds, tables, chairs, …). All furniture pieces have a type, a single reference (eg CC6578) and a selling price. The major competitive advantage of this innovative plant is the fact that each component produced can be used in more than one piece of furniture. Each piece of furniture is thus composed of several components. The same component can be used more than once in the same piece. Every type of component produced is assigned a unique numerical code, a manufacturing price and a type (screw, hinge, shelf …). The furniture is then sold in various stores throughout the world. Each store has a different address and a fax number. To make the manufacturing process more efficient, stores have to place orders everytime they need to replenish their stock. These orders must also be stored in the database. Each order has a order number, a date, the store that placed the order as well as a list of all the ordered furniture and their quantities.",DET NOUN VERB ADJ NOUN ADP NOUN PUNCT PRON ADP DET ADJ NOUN CCONJ VERB ADP ADJ NOUN ADP NOUN ADP ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT PUNCT PUNCT PUNCT DET NOUN NOUN VERB DET NOUN PUNCT DET ADJ NOUN PUNCT PROPN PROPN PUNCT CCONJ DET NOUN NOUN PUNCT DET ADJ ADJ NOUN ADP DET ADJ NOUN AUX DET NOUN SCONJ DET NOUN VERB AUX AUX VERB ADP ADJ ADP NUM NOUN ADP NOUN PUNCT DET NOUN ADP NOUN AUX ADV VERB ADP ADJ NOUN PUNCT DET ADJ NOUN AUX AUX VERB ADJ ADP ADV ADP DET ADJ NOUN PUNCT DET NOUN ADP NOUN VERB AUX VERB DET ADJ PROPN NOUN PUNCT DET NOUN NOUN CCONJ DET NOUN PUNCT PROPN PUNCT NOUN PUNCT NOUN PUNCT PUNCT PUNCT DET NOUN AUX ADV VERB ADP ADJ NOUN ADP DET NOUN PUNCT DET NOUN VERB DET ADJ NOUN CCONJ DET NOUN NOUN PUNCT PART VERB DET NOUN NOUN ADV ADJ PUNCT NOUN VERB PART VERB NOUN NOUN PRON VERB PART VERB PRON NOUN PUNCT DET NOUN AUX ADV AUX VERB ADP DET NOUN PUNCT DET NOUN VERB DET NOUN NOUN PUNCT DET NOUN PUNCT DET NOUN PRON VERB DET NOUN ADV ADV ADP DET NOUN ADP DET DET VERB NOUN CCONJ PRON NOUN PUNCT,O O O O entity O O O O O O O attr O relationship O O entity O O O O attr O O O O O O O O O O O O entity O O attr O O O attr O O O O O O O attr O O O O O O O O O O O O O O entity O O O O O O O O entity O O O O entity O O O O relationship O O entity O O O entity O O O O O O O O O entity O O attr O entity O O O O O O attr O O O attr O O attr O O O O O O O O O O O O O O O O entity O O O O O entity O O O attr O O attr attr O O O O O O O O O entity O O relationship entity O O O O O O O O O entity O O O relationship O O entity O O entity O O entity attr O O attr O O entity O O O entity O O O O O O O O O O O O O O
"It should be possible to store the national id number (NIN), tax identification number (TIN), name and address for every client. The NIN and TIN must be different for every client and all clients should have at least a TIN and a name. The database should also contain information about the bicycle models that can be rented- Each model has an unique name, a type (that can only be road, mountain, bmx or hybrid) and the number of gears. Each bicycle has a unique identifying number and a model. The company has several different stores where bicycles can be picked up and returned. Each one of these stores is identified by an unique name and has an address (both mandatory). When a reservation is made, the following data must be known: which client did the reservation, when will he pick up the bike (day), which bike model he wants and where will he pick up the bike (store). When a bike is picked up, the actual bike that was picked up must be stored in the database. When a bike is returned, the return date should be stored in the database.",PRON AUX AUX ADJ PART VERB DET PROPN PROPN PROPN NOUN PUNCT PROPN PUNCT PUNCT NOUN NOUN NOUN PUNCT PROPN PUNCT PUNCT NOUN CCONJ NOUN ADP DET NOUN PUNCT DET PROPN CCONJ PROPN AUX AUX ADJ SCONJ DET NOUN CCONJ DET NOUN AUX VERB ADV ADJ DET NOUN CCONJ DET NOUN PUNCT DET NOUN AUX ADV VERB NOUN ADP DET NOUN NOUN PRON AUX AUX VERB DET NOUN VERB DET ADJ NOUN PUNCT DET NOUN PUNCT PRON AUX ADV AUX NOUN PUNCT NOUN PUNCT NOUN CCONJ NOUN PUNCT CCONJ DET NOUN ADP NOUN PUNCT DET NOUN VERB DET ADJ NOUN NOUN CCONJ DET NOUN PUNCT DET NOUN VERB ADJ ADJ NOUN SCONJ NOUN AUX AUX VERB ADP CCONJ VERB PUNCT DET NOUN ADP DET NOUN AUX VERB ADP DET ADJ NOUN CCONJ VERB DET NOUN PUNCT PRON ADJ PUNCT PUNCT SCONJ DET NOUN AUX VERB PUNCT DET VERB NOUN AUX AUX VERB PUNCT DET NOUN VERB DET NOUN PUNCT SCONJ AUX PRON VERB ADP DET NOUN PUNCT NOUN PUNCT PUNCT DET NOUN NOUN PRON VERB CCONJ SCONJ AUX PRON VERB ADP DET NOUN PUNCT NOUN PUNCT PUNCT SCONJ DET NOUN AUX VERB ADP PUNCT DET ADJ NOUN PRON AUX VERB ADP AUX AUX VERB ADP DET NOUN PUNCT SCONJ DET NOUN AUX VERB PUNCT DET NOUN NOUN AUX AUX VERB ADP DET NOUN PUNCT,O O O O O O O O O O O O O O O attr O O O O O O attr O attr O O entity O O O O O O O O O O entity O O O O O O O O O O O attr O O O O O O O O O entity O O O O O O O O O O attr O O attr O O O O O O O O O O O O O O O O O attr O O entity O O O O O O O O O O O O O O entity O O O O O O O O O O O O O entity O O O O O attr O O O attr O O O O O O O entity O O O O O O O O O O O entity relationship O entity O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Consider a company with six factories that builds engine components. A single factory takes care of the assembly,
Customers place orders, priority customer places orders first with 20% more of the order. Orders are received by the sales department. If the customer places more than ten orders then he has priority. After processing the orders received, the sales department obtains a breakdown of the parts: manufactured parts and subcontracted parts.
The sales department can print two types of listings: home listing sent to the factory, and a listing of the subtracted components sent to the stock management department which takes care of the supply of raw materials. The assembly plant then finalizes the order at the final stage. Among the tasks also of the sales department is the follow-up of invoicing.",VERB DET NOUN ADP NUM NOUN PRON VERB NOUN NOUN PUNCT DET ADJ NOUN VERB NOUN ADP DET NOUN PUNCT SPACE NOUN VERB NOUN PUNCT NOUN NOUN NOUN NOUN ADV ADP NUM NOUN ADJ ADP DET NOUN PUNCT NOUN AUX VERB ADP DET NOUN NOUN PUNCT SCONJ DET NOUN VERB ADJ ADP NUM NOUN ADV PRON VERB NOUN PUNCT ADP VERB DET NOUN VERB PUNCT DET NOUN NOUN VERB DET NOUN ADP DET NOUN PUNCT VERB NOUN CCONJ ADJ NOUN PUNCT SPACE DET NOUN NOUN AUX VERB NUM NOUN ADP NOUN PUNCT NOUN NOUN VERB ADP DET NOUN PUNCT CCONJ DET NOUN ADP DET VERB NOUN VERB ADP DET NOUN NOUN NOUN PRON VERB NOUN ADP DET NOUN ADP ADJ NOUN PUNCT DET NOUN NOUN ADV VERB DET NOUN ADP DET ADJ NOUN PUNCT ADP DET NOUN ADV ADP DET NOUN NOUN AUX DET NOUN PUNCT NOUN ADP NOUN PUNCT,O O O O O entity O O O O O O O entity O O O O O O O entity relationship entity O O O O entity O O O O O O O O O entity O O O O entity O O O O O O O O O entity O O O O O O O O entity O O O entity O O O O O O O O O O O O O O O O entity O O relationship O O O O O O O relationship O O entity O O O O O O entity O relationship O O O entity O O O O O O O O O O O O O O O O O O O O O O O O O O O O O entity O O O O O O O O O
"Or a media library for the borrowing of works by registered customers using a registration form containing their information (name, address, etc.). We have three types of customers, a customer at reduced rates, a customer who subscribes for a year or a customer at a normal rate. All loans have a fixed duration which does not exceed 10 days.
A customer can borrow different types of work: audio, video or books. These works are recorded in the media library by a unique code. On the other hand, there are documents that the customer cannot borrow, but can only be consulted on site.
Each book has a particular type, for example the books have a ""novel"" type, or are of the ""detective"" type, etc.
After borrowing a book, the librarian creates a borrowing sheet. This sheet must contain the name of the customer, the date of loan and the date of return. The librarian can add or delete a client or a work.
The borrowing of a document by a client follows certain rules:
The maximum number of documents to borrow is 5, if it exceeds this number then any new borrowing will be impossible.
If the customer who has borrowed a document and who has not returned it, his return deadline will be blocked from making any new loan until he has returned the work, even if the maximum number of borrowing is not reached.",CCONJ DET NOUN NOUN ADP DET NOUN ADP NOUN ADP VERB NOUN VERB DET NOUN NOUN VERB PRON NOUN PUNCT NOUN PUNCT NOUN PUNCT X PUNCT PUNCT PUNCT PRON VERB NUM NOUN ADP NOUN PUNCT DET NOUN ADP ADJ NOUN PUNCT DET NOUN PRON VERB ADP DET NOUN CCONJ DET NOUN ADP DET ADJ NOUN PUNCT DET NOUN VERB DET VERB NOUN PRON AUX PART VERB NUM NOUN PUNCT SPACE DET NOUN AUX VERB ADJ NOUN ADP NOUN PUNCT ADJ PUNCT NOUN CCONJ NOUN PUNCT DET NOUN AUX VERB ADP DET NOUN NOUN ADP DET ADJ NOUN PUNCT ADP DET ADJ NOUN PUNCT PRON VERB NOUN PRON DET NOUN AUX PART VERB PUNCT CCONJ AUX ADV AUX VERB ADP NOUN PUNCT SPACE DET NOUN VERB DET ADJ NOUN PUNCT ADP NOUN DET NOUN VERB DET PUNCT ADJ PUNCT NOUN PUNCT CCONJ AUX ADP DET PUNCT NOUN PUNCT NOUN PUNCT X X SPACE ADP VERB DET NOUN PUNCT DET NOUN VERB DET NOUN NOUN PUNCT DET NOUN AUX VERB DET NOUN ADP DET NOUN PUNCT DET NOUN ADP NOUN CCONJ DET NOUN ADP NOUN PUNCT DET NOUN AUX VERB CCONJ VERB DET NOUN CCONJ DET NOUN PUNCT SPACE DET NOUN ADP DET NOUN ADP DET NOUN VERB ADJ NOUN PUNCT SPACE DET ADJ NOUN ADP NOUN PART VERB AUX NUM PUNCT SCONJ PRON VERB DET NOUN ADV DET ADJ NOUN AUX AUX ADJ PUNCT SPACE SCONJ DET NOUN PRON AUX VERB DET NOUN CCONJ PRON AUX PART VERB PRON PUNCT PRON NOUN NOUN AUX AUX VERB ADP VERB DET ADJ NOUN SCONJ PRON AUX VERB DET NOUN PUNCT ADV SCONJ DET ADJ NOUN ADP NOUN AUX PART VERB PUNCT,O O O entity O O relationship O entity O O entity O O O O O O O O O O O O O O O O O O O O O entity O O entity O O O O O entity O O O O O O O entity O O O O O O O O O O O O O O O O O O O O entity O relationship O O O entity O entity O entity O entity O O entity O relationship O O O entity O O O O O O O O O O O O O O O entity O O relationship O O O O O O O O O O O entity O O O attr O O O O entity O O O O O attr O O O O O O O O attr O O O O O relationship O entity O O O O O relationship O O O O O O O O O O entity O O O O O O O O O O O O O O O O O O O O O entity O O O relationship O O O O O O O O O O O O O O O O O relationship O O O O O O O O O O O relationship O O O O O O O entity O O O O O O O O O O O O O O O O O O O O O O O O O O O O entity O O O O O O O relationship O O O O
A company consists of departments. Departments are located in one or more offices. One office acts as a headquarter. Eachdepartment has a manager who is recruited from the set of employees.,DET NOUN VERB ADP NOUN PUNCT NOUN AUX VERB ADP NUM CCONJ ADJ NOUN PUNCT NUM NOUN VERB ADP DET NOUN PUNCT PROPN VERB DET NOUN PRON AUX VERB ADP DET NOUN ADP NOUN PUNCT,O entity O O entity O entity O O O O O O entity O O entity O O O entity O O O O entity O O relationship O O O O entity O
